Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,NY_Sweep_Asia_Low,Outcome,Entry,SL,TP,NY_Sweep_Asia_High
2015-12-04 15:00:00,50.0,1.51136,Yes,Long,1.0,Loss,1.51136,0,0,
2015-12-09 21:00:00,0.0,1.5162,Yes,Short,,Loss,1.5162,0,0,1.0
2015-12-10 20:00:00,3.7,1.51647,Yes,Long,1.0,Loss,1.51647,0,0,
2015-12-14 22:00:00,67.7,1.51352,Yes,Long,1.0,Win,1.51352,0,0,
2015-12-15 16:00:00,21.3,1.51406,Yes,Short,,Win,1.51406,0,0,1.0
2015-12-16 21:00:00,33.4,1.50603,Yes,Long,1.0,Loss,1.50603,0,0,
2015-12-17 17:00:00,0.0,1.48821,Yes,Long,1.0,Win,1.48821,0,0,
2015-12-18 23:00:00,0.0,1.489,Yes,Long,1.0,Win,1.489,0,0,
2015-12-21 18:00:00,25.0,1.49046,Yes,Long,1.0,Loss,1.49046,0,0,
2015-12-22 18:00:00,0.0,1.48117,Yes,Long,1.0,Win,1.48117,0,0,
2015-12-28 21:00:00,25.0,1.48851,Yes,Long,1.0,Win,1.48851,0,0,
2015-12-29 15:00:00,0.0,1.47987,Yes,Long,1.0,Win,1.47987,0,0,
2015-12-30 16:00:00,0.0,1.4823,Yes,Short,,Win,1.4823,0,0,1.0
2015-12-31 19:00:00,25.0,1.47331,Yes,Long,1.0,Loss,1.47331,0,0,
2016-01-04 17:00:00,25.0,1.46887,Yes,Long,1.0,Win,1.46887,0,0,
2016-01-05 17:00:00,25.0,1.46474,Yes,Long,1.0,Win,1.46474,0,0,
2016-01-06 15:00:00,25.0,1.46415,Yes,Long,1.0,Loss,1.46415,0,0,
2016-01-13 23:00:00,0.0,1.4406,Yes,Long,1.0,Loss,1.4406,0,0,
2016-01-14 16:00:00,25.0,1.44128,Yes,Short,,Loss,1.44128,0,0,1.0
2016-01-18 23:00:00,0.0,1.4242,Yes,Long,1.0,Win,1.4242,0,0,
2016-01-19 17:00:00,0.0,1.41436,Yes,Long,1.0,Win,1.41436,0,0,
2016-01-20 16:00:00,25.0,1.42005,Yes,Short,,Win,1.42005,0,0,1.0
2016-01-21 22:00:00,0.0,1.42408,Yes,Short,,Win,1.42408,0,0,1.0
2016-01-25 19:00:00,25.0,1.42438,Yes,Long,1.0,Loss,1.42438,0,0,
2016-01-26 18:00:00,0.0,1.43401,Yes,Short,,Loss,1.43401,0,0,1.0
2016-01-27 15:00:00,25.0,1.43378,Yes,Short,,Win,1.43378,0,0,1.0
2016-01-28 17:00:00,25.0,1.43885,Yes,Short,,Win,1.43885,0,0,1.0
