Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Swept_AL_Into_FVG,1h_Bullish_Flip,Outcome,Entry,SL,TP,Swept_AH_Into_FVG,1h_Bearish_Flip
2006-04-10 19:00:00,32.5,1.7409,Yes,Short,,,Loss,1.7409,1.7429,1.7369,1.0,1.0
2006-04-12 11:00:00,34.4,1.7533,Yes,Long,1.0,1.0,Win,1.7533,1.7513,1.7573,,
2006-04-19 10:00:00,72.1,1.783,Yes,Long,1.0,1.0,Win,1.783,1.781,1.787,,
2006-04-25 16:00:00,66.2,1.7905,Yes,Long,1.0,1.0,Win,1.7905,1.7885,1.7945,,
2006-05-05 16:00:00,70.2,1.8577,Yes,Long,1.0,1.0,Win,1.8577,1.8557,1.8617,,
2006-05-09 00:00:00,97.1,1.8592,Yes,Long,1.0,1.0,Loss,1.8592,1.8572,1.8632,,
2006-05-10 22:00:00,69.7,1.8665,Yes,Long,1.0,1.0,Loss,1.8665,1.8645,1.8705,,
2006-05-11 00:00:00,69.5,1.864,Yes,Long,1.0,1.0,Loss,1.864,1.862,1.868,,
2006-06-06 14:00:00,50.6,1.8696,Yes,Short,,,Win,1.8696,1.8716,1.8656,1.0,1.0
2006-06-09 17:00:00,0.0,1.8447,Yes,Short,,,Loss,1.8447,1.8467,1.8407,1.0,1.0
2006-06-09 18:00:00,0.0,1.8434,Yes,Short,,,Win,1.8434,1.8454,1.8394,1.0,1.0
2006-06-20 15:00:00,0.0,1.8405,Yes,Short,,,Loss,1.8405,1.8425,1.8365,1.0,1.0
2006-06-21 19:00:00,25.0,1.846,Yes,Long,1.0,1.0,Loss,1.846,1.844,1.85,,
2006-06-29 22:00:00,25.0,1.8299,Yes,Short,,,Loss,1.8299,1.8319,1.8259,1.0,1.0
2006-07-14 17:00:00,0.0,1.835,Yes,Short,,,Loss,1.835,1.837,1.831,1.0,1.0
2006-07-19 18:00:00,25.0,1.8399,Yes,Long,1.0,1.0,Loss,1.8399,1.8379,1.8439,,
2006-07-28 16:00:00,77.6,1.8645,Yes,Long,1.0,1.0,Loss,1.8645,1.8625,1.8685,,
2006-08-02 16:00:00,79.6,1.877,Yes,Long,1.0,1.0,Loss,1.877,1.875,1.881,,
2006-08-02 19:00:00,79.9,1.8783,Yes,Long,1.0,1.0,Loss,1.8783,1.8763,1.8823,,
2006-08-03 15:00:00,82.5,1.8852,Yes,Long,1.0,1.0,Win,1.8852,1.8832,1.8892,,
2006-08-11 10:00:00,38.9,1.8915,Yes,Short,,,Loss,1.8915,1.8935,1.8875,1.0,1.0
2006-08-11 11:00:00,37.2,1.8951,Yes,Short,,,Loss,1.8951,1.8971,1.8911,1.0,1.0
2006-08-16 16:00:00,50.0,1.8987,Yes,Long,1.0,1.0,Loss,1.8987,1.8967,1.9027,,
2006-08-18 11:00:00,0.0,1.883,Yes,Short,,,Loss,1.883,1.885,1.879,1.0,1.0
2006-08-22 12:00:00,25.0,1.8913,Yes,Short,,,Loss,1.8913,1.8933,1.8873,1.0,1.0
2006-08-22 13:00:00,25.0,1.8917,Yes,Short,,,Win,1.8917,1.8937,1.8877,1.0,1.0
2006-09-06 11:00:00,23.7,1.893,Yes,Short,,,Win,1.893,1.895,1.889,1.0,1.0
2006-09-18 13:00:00,25.0,1.8757,Yes,Long,1.0,1.0,Win,1.8757,1.8737,1.8797,,
2006-09-19 16:00:00,0.0,1.8872,Yes,Long,1.0,1.0,Loss,1.8872,1.8852,1.8912,,
2006-10-04 12:00:00,50.0,1.8817,Yes,Long,1.0,1.0,Loss,1.8817,1.8797,1.8857,,
2006-10-04 22:00:00,50.0,1.8862,Yes,Long,1.0,1.0,Loss,1.8862,1.8842,1.8902,,
2006-10-06 17:00:00,25.0,1.8722,Yes,Short,,,Win,1.8722,1.8742,1.8682,1.0,1.0
2006-10-10 12:00:00,0.0,1.861,Yes,Short,,,Win,1.861,1.863,1.857,1.0,1.0
2006-10-11 11:00:00,0.0,1.8559,Yes,Short,,,Loss,1.8559,1.8579,1.8519,1.0,1.0
2006-10-11 12:00:00,0.0,1.8581,Yes,Short,,,Win,1.8581,1.8601,1.8541,1.0,1.0
2006-10-27 16:00:00,59.6,1.8968,Yes,Long,1.0,1.0,Win,1.8968,1.8948,1.9008,,
2006-10-30 09:00:00,84.5,1.8981,Yes,Long,1.0,1.0,Win,1.8981,1.8961,1.9021,,
2006-11-01 12:00:00,88.6,1.9095,Yes,Long,1.0,1.0,Loss,1.9095,1.9075,1.9135,,
2006-11-02 11:00:00,89.4,1.9089,Yes,Long,1.0,1.0,Loss,1.9089,1.9069,1.9129,,
2006-11-03 10:00:00,42.3,1.9092,Yes,Long,1.0,1.0,Loss,1.9092,1.9072,1.9132,,
2006-11-03 13:00:00,42.3,1.9091,Yes,Long,1.0,1.0,Loss,1.9091,1.9071,1.9131,,
2006-11-17 16:00:00,25.0,1.8914,Yes,Long,1.0,1.0,Win,1.8914,1.8894,1.8954,,
2006-12-06 17:00:00,45.5,1.9704,Yes,Long,1.0,1.0,Loss,1.9704,1.9684,1.9744,,
2006-12-06 18:00:00,44.4,1.9692,Yes,Long,1.0,1.0,Loss,1.9692,1.9672,1.9732,,
2006-12-08 15:00:00,28.1,1.9675,Yes,Short,,,Loss,1.9675,1.9695,1.9635,1.0,1.0
2006-12-08 16:00:00,28.1,1.97,Yes,Short,,,Loss,1.97,1.972,1.966,1.0,1.0
2006-12-13 15:00:00,50.0,1.9658,Yes,Long,1.0,1.0,Loss,1.9658,1.9638,1.9698,,
2006-12-15 11:00:00,0.0,1.9568,Yes,Long,1.0,1.0,Win,1.9568,1.9548,1.9608,,
2006-12-21 13:00:00,50.2,1.9629,Yes,Short,,,Win,1.9629,1.9649,1.9589,1.0,1.0
2006-12-22 16:00:00,1.8,1.9619,Yes,Short,,,Win,1.9619,1.9639,1.9579,1.0,1.0
2006-12-26 15:00:00,25.0,1.9559,Yes,Short,,,Loss,1.9559,1.9579,1.9519,1.0,1.0
