Datetime,Profile_Type,Close_Price,Price_ZScore
2015-12-02 11:00:00-05:00,Bullish Setup Detected,1.49261,-3.718721378292581
2015-12-02 12:00:00-05:00,Bullish Setup Detected,1.49314,-3.1285522465694338
2015-12-08 07:00:00-05:00,Bullish Setup Detected,1.49764,-2.8006520308692004
2015-12-08 08:00:00-05:00,Bullish Setup Detected,1.4966,-2.8033300243094588
2015-12-09 09:00:00-05:00,Bearish Setup Detected,1.51432,3.115192249001178
2015-12-09 10:00:00-05:00,Bearish Setup Detected,1.51824,3.619722547109911
2015-12-09 11:00:00-05:00,Bearish Setup Detected,1.51659,2.89628793845527
2015-12-09 12:00:00-05:00,Bearish Setup Detected,1.51675,2.678589665783465
2015-12-09 13:00:00-05:00,Bearish Setup Detected,1.51825,2.7252686628296945
2015-12-11 09:00:00-05:00,Bearish Setup Detected,1.52189,3.0286542976510726
2015-12-11 14:00:00-05:00,Bearish Setup Detected,1.52285,2.5822732328286095
2015-12-15 10:00:00-05:00,Bullish Setup Detected,1.5048,-3.3419316724492263
2015-12-15 11:00:00-05:00,Bullish Setup Detected,1.50432,-3.0948825240229922
2015-12-15 12:00:00-05:00,Bullish Setup Detected,1.50556,-2.545325925092476
2015-12-15 13:00:00-05:00,Bullish Setup Detected,1.50471,-2.530548104425073
2015-12-22 09:00:00-05:00,Bullish Setup Detected,1.48395,-3.4691965565423306
2015-12-22 10:00:00-05:00,Bullish Setup Detected,1.48251,-3.6413980464462314
2015-12-22 11:00:00-05:00,Bullish Setup Detected,1.48117,-3.632504899276391
2015-12-22 12:00:00-05:00,Bullish Setup Detected,1.48195,-2.915385090481754
2015-12-22 13:00:00-05:00,Bullish Setup Detected,1.48085,-2.9842909593741536
2015-12-22 14:00:00-05:00,Bullish Setup Detected,1.4813,-2.561362593563521
2015-12-29 05:00:00-05:00,Bullish Setup Detected,1.48442,-2.966325949790771
2015-12-29 06:00:00-05:00,Bullish Setup Detected,1.48243,-3.450042282609886
2015-12-29 07:00:00-05:00,Bullish Setup Detected,1.48207,-3.1487789290117467
2015-12-29 08:00:00-05:00,Bullish Setup Detected,1.47987,-3.471368110615067
